Des_Grp,Employee_Type,2013_pc,2015_pc,2015_hired_ct
AS_TOTAL,Employees_Reg,,23747,4068
IND,Employees_Reg,3.1,3.1,126
DIS,Employees_Reg,4.3,4,94
VM,Employees_Reg,13.6,14,588
WOM,Employees_Reg,60.6,61.2,2683
WOM_SM,Employees_Reg,41.5,46.1,
AS_TOTAL,Employees_Aux,,1262,961
IND,Employees_Aux,3.8,3.4,34
DIS,Employees_Aux,2.4,2.7,25
VM,Employees_Aux,11.9,11.3,103
WOM,Employees_Aux,69.4,69.3,673
AS_TOTAL,Employees_All,,25009,5029
IND,Employees_All,3.1,3.2,34
DIS,Employees_All,4.2,3.9,25
VM,Employees_All,13.5,13.9,103
WOM,Employees_All,61.0,61.6,673
WOM_SM,Employees_All,41.5,46.1,