BCPS_Ministry_Group,Des_Grp,Employee_Type,Employees_BC_Population,Available_Workforce_BCPS,Employees_BCPS
BCPS,IND,Employees_All,5.9,5.1,4.3
BCPS,DIS,Employees_All,5.6,5.1,5
BCPS,VM,Employees_All,30.3,19.1,17
BCPS,WOM,Employees_All,51,60.9,62.1
BCPS,IND,Employees_Reg,5.9,5.1,4.2
BCPS,DIS,Employees_Reg,5.6,5.1,5
BCPS,VM,Employees_Reg,30.3,19,16.9
BCPS,WOM,Employees_Reg,51,60.3,61.7
BCPS,IND,Employees_Aux,5.9,4.8,4.5
BCPS,DIS,Employees_Aux,5.6,5.2,3.8
BCPS,VM,Employees_Aux,30.3,21.2,14.2
BCPS,WOM,Employees_Aux,51,69.5,42.2
AEST,IND,Employees_All,5.9,4.3,4
AEST,DIS,Employees_All,5.6,5.1,7.5
AEST,VM,Employees_All,30.3,21,19.5
AEST,WOM,Employees_All,51,68,65.8
AEST,IND,Employees_Reg,5.9,4.3,4
AEST,DIS,Employees_Reg,5.6,5.1,6.7
AEST,VM,Employees_Reg,30.3,20.7,19.5
AEST,WOM,Employees_Reg,51,67.6,66.3
AEST,IND,Employees_Aux,5.9,3.9,4.3
AEST,DIS,Employees_Aux,5.6,5.1,5
AEST,VM,Employees_Aux,30.3,24.5,17
AEST,WOM,Employees_Aux,51,74.4,62.1
AG,IND,Employees_All,5.9,3.6,3.4
AG,DIS,Employees_All,5.6,5,3.9
AG,VM,Employees_All,30.3,18,17.3
AG,WOM,Employees_All,51,61.9,65.8
AG,IND,Employees_Reg,5.9,3.6,3.4
AG,DIS,Employees_Reg,5.6,5,3.8
AG,VM,Employees_Reg,30.3,17.8,17
AG,WOM,Employees_Reg,51,61.1,65.1
AG,IND,Employees_Aux,5.9,4,2.8
AG,DIS,Employees_Aux,5.6,5.1,5.6
AG,VM,Employees_Aux,30.3,21.1,24.6
AG,WOM,Employees_Aux,51,77.7,79.5
AGRI,IND,Employees_All,5.9,3.2,3.8
AGRI,DIS,Employees_All,5.6,5.2,5.4
AGRI,VM,Employees_All,30.3,16.4,19.2
AGRI,WOM,Employees_All,51,52.4,55.8
AGRI,IND,Employees_Reg,5.9,3.1,3.5
AGRI,DIS,Employees_Reg,5.6,5.2,5.6
AGRI,VM,Employees_Reg,30.3,16.2,19.4
AGRI,WOM,Employees_Reg,51,52,54.7
AGRI,IND,Employees_Aux,5.9,3.6,<3
AGRI,DIS,Employees_Aux,5.6,5.2,<3
AGRI,VM,Employees_Aux,30.3,17.9,17.2
AGRI,WOM,Employees_Aux,51,55.1,64.1
BCPSA,IND,Employees_All,5.9,4.3,4.3
BCPSA,DIS,Employees_All,5.6,4.8,5
BCPSA,VM,Employees_All,30.3,18.4,17
BCPSA,WOM,Employees_All,51,67.8,62.1
BCPSA,IND,Employees_Reg,5.9,4.3,3.6
BCPSA,DIS,Employees_Reg,5.6,4.8,5.7
BCPSA,VM,Employees_Reg,30.3,18.3,17.4
BCPSA,WOM,Employees_Reg,51,67.4,74.6
BCPSA,IND,Employees_Aux,5.9,4.4,12.1
BCPSA,DIS,Employees_Aux,5.6,4.5,12.1
BCPSA,VM,Employees_Aux,30.3,19.2,23.3
BCPSA,WOM,Employees_Aux,51,73.4,81.8
CFD,IND,Employees_All,5.9,7.4,4.1
CFD,DIS,Employees_All,5.6,5.5,6.1
CFD,VM,Employees_All,30.3,19,17.8
CFD,WOM,Employees_All,51,77.1,75
CFD,IND,Employees_Reg,5.9,7.5,6.8
CFD,DIS,Employees_Reg,5.6,5.5,5.7
CFD,VM,Employees_Reg,30.3,18.9,18.1
CFD,WOM,Employees_Reg,51,77.4,82
CFD,IND,Employees_Aux,5.9,6.8,8.7
CFD,DIS,Employees_Aux,5.6,5.3,9.1
CFD,VM,Employees_Aux,30.3,21.3,19.4
CFD,WOM,Employees_Aux,51,73,76.4
CITZ,IND,Employees_All,5.9,3.9,6.9
CITZ,DIS,Employees_All,5.6,5,5.9
CITZ,VM,Employees_All,30.3,24,18.2
CITZ,WOM,Employees_All,51,62,81.6
CITZ,IND,Employees_Reg,5.9,3.8,3.3
CITZ,DIS,Employees_Reg,5.6,5,5.3
CITZ,VM,Employees_Reg,30.3,23.7,15.3
CITZ,WOM,Employees_Reg,51,60.9,58.4
CITZ,IND,Employees_Aux,5.9,4.1,7.2
CITZ,DIS,Employees_Aux,5.6,5.1,7.2
CITZ,VM,Employees_Aux,30.3,27.4,20.7
CITZ,WOM,Employees_Aux,51,75.7,65.6
EAO,IND,Employees_All,5.9,5,3.5
EAO,DIS,Employees_All,5.6,4.7,5.4
EAO,VM,Employees_All,30.3,15.8,15.7
EAO,WOM,Employees_All,51,54.4,58.9
EAO,IND,Employees_Reg,5.9,5,<3
EAO,DIS,Employees_Reg,5.6,4.7,6.3
EAO,VM,Employees_Reg,30.3,15.5,7.6
EAO,WOM,Employees_Reg,51,53.3,62.5
EAO,IND,Employees_Aux,5.9,4,<3
EAO,DIS,Employees_Aux,5.6,4.8,<3
EAO,VM,Employees_Aux,30.3,19.8,<3
EAO,WOM,Employees_Aux,51,70,50
EDUC,IND,Employees_All,5.9,4.5,2.3
EDUC,DIS,Employees_All,5.6,4.9,5.8
EDUC,VM,Employees_All,30.3,20.2,9.4
EDUC,WOM,Employees_All,51,63.7,61.6
EDUC,IND,Employees_Reg,5.9,4.6,1.5
EDUC,DIS,Employees_Reg,5.6,4.9,5.7
EDUC,VM,Employees_Reg,30.3,20.1,17.2
EDUC,WOM,Employees_Reg,51,63.4,62.7
EDUC,IND,Employees_Aux,5.9,3.9,<3
EDUC,DIS,Employees_Aux,5.6,4.9,<3
EDUC,VM,Employees_Aux,30.3,21.6,38.5
EDUC,WOM,Employees_Aux,51,70.9,75
EMBC,IND,Employees_All,5.9,4.4,1.7
EMBC,DIS,Employees_All,5.6,4.8,5.8
EMBC,VM,Employees_All,30.3,17.3,18
EMBC,WOM,Employees_All,51,57,63.3
EMBC,IND,Employees_Reg,5.9,4.5,5.6
EMBC,DIS,Employees_Reg,5.6,4.8,2.4
EMBC,VM,Employees_Reg,30.3,16,6.5
EMBC,WOM,Employees_Reg,51,53.5,54.7
EMBC,IND,Employees_Aux,5.9,4.2,20.7
EMBC,DIS,Employees_Aux,5.6,4.9,<3
EMBC,VM,Employees_Aux,30.3,20.9,16
EMBC,WOM,Employees_Aux,51,67,66.7
EMPR,IND,Employees_All,5.9,4.1,8.4
EMPR,DIS,Employees_All,5.6,5.1,3.2
EMPR,VM,Employees_All,30.3,17.3,8.1
EMPR,WOM,Employees_All,51,51.2,57.8
EMPR,IND,Employees_Reg,5.9,4.1,3.4
EMPR,DIS,Employees_Reg,5.6,5.1,4.1
EMPR,VM,Employees_Reg,30.3,17,10.7
EMPR,WOM,Employees_Reg,51,50.1,46.9
EMPR,IND,Employees_Aux,5.9,4.1,<3
EMPR,DIS,Employees_Aux,5.6,5,23.1
EMPR,VM,Employees_Aux,30.3,22.1,<3
EMPR,WOM,Employees_Aux,51,69.9,41.2
ENV,IND,Employees_All,5.9,5.6,3.3
ENV,DIS,Employees_All,5.6,5.1,4.9
ENV,VM,Employees_All,30.3,14.5,10.3
ENV,WOM,Employees_All,51,44.9,46.6
ENV,IND,Employees_Reg,5.9,5.6,3.8
ENV,DIS,Employees_Reg,5.6,5.1,4.9
ENV,VM,Employees_Reg,30.3,14.5,7.7
ENV,WOM,Employees_Reg,51,44.6,48.2
ENV,IND,Employees_Aux,5.9,5.9,9.3
ENV,DIS,Employees_Aux,5.6,5.2,5.6
ENV,VM,Employees_Aux,30.3,15.5,14
ENV,WOM,Employees_Aux,51,50.3,46.4
FIN,IND,Employees_All,5.9,3.9,4.1
FIN,DIS,Employees_All,5.6,5.3,4.9
FIN,VM,Employees_All,30.3,24,8.1
FIN,WOM,Employees_All,51,60.5,48.1
FIN,IND,Employees_Reg,5.9,3.9,2.7
FIN,DIS,Employees_Reg,5.6,5.3,4.5
FIN,VM,Employees_Reg,30.3,24,29.5
FIN,WOM,Employees_Reg,51,59.8,59.4
FIN,IND,Employees_Aux,5.9,4.4,<3
FIN,DIS,Employees_Aux,5.6,4.9,<3
FIN,VM,Employees_Aux,30.3,22.5,36.6
FIN,WOM,Employees_Aux,51,81.4,53.3
FLNRORD,IND,Employees_All,5.9,3.7,2.8
FLNRORD,DIS,Employees_All,5.6,5.3,4.4
FLNRORD,VM,Employees_All,30.3,15.4,29.7
FLNRORD,WOM,Employees_All,51,46.2,59.2
FLNRORD,IND,Employees_Reg,5.9,3.7,3.9
FLNRORD,DIS,Employees_Reg,5.6,5.3,4.5
FLNRORD,VM,Employees_Reg,30.3,15.3,7.6
FLNRORD,WOM,Employees_Reg,51,45.6,45.5
FLNRORD,IND,Employees_Aux,5.9,3.8,4.4
FLNRORD,DIS,Employees_Aux,5.6,5.4,<3
FLNRORD,VM,Employees_Aux,30.3,17.2,7.5
FLNRORD,WOM,Employees_Aux,51,54.7,61.9
GCPE,IND,Employees_All,5.9,2.6,3.9
GCPE,DIS,Employees_All,5.6,5,4.3
GCPE,VM,Employees_All,30.3,26.2,7.6
GCPE,WOM,Employees_All,51,56.1,46.5
GCPE,IND,Employees_Reg,5.9,2.6,1.5
GCPE,DIS,Employees_Reg,5.6,5,5.2
GCPE,VM,Employees_Reg,30.3,26.1,14.1
GCPE,WOM,Employees_Reg,51,56.5,58.4
GCPE,IND,Employees_Aux,5.9,2.4,<3
GCPE,DIS,Employees_Aux,5.6,4.9,<3
GCPE,VM,Employees_Aux,30.3,30.4,<3
GCPE,WOM,Employees_Aux,51,42.1,33.3
HLTH,IND,Employees_All,5.9,4,1.4
HLTH,DIS,Employees_All,5.6,5.1,5
HLTH,VM,Employees_All,30.3,22.5,14
HLTH,WOM,Employees_All,51,67.3,57.7
HLTH,IND,Employees_Reg,5.9,4,2.5
HLTH,DIS,Employees_Reg,5.6,5.1,6.3
HLTH,VM,Employees_Reg,30.3,22.3,20.6
HLTH,WOM,Employees_Reg,51,66.7,68.5
HLTH,IND,Employees_Aux,5.9,3.9,<3
HLTH,DIS,Employees_Aux,5.6,5.2,<3
HLTH,VM,Employees_Aux,30.3,27.2,34.1
HLTH,WOM,Employees_Aux,51,80.7,74.5
IRR,IND,Employees_All,5.9,5.1,2.6
IRR,DIS,Employees_All,5.6,4.5,6.2
IRR,VM,Employees_All,30.3,16,21.1
IRR,WOM,Employees_All,51,61.5,68.7
IRR,IND,Employees_Reg,5.9,5.1,10.6
IRR,DIS,Employees_Reg,5.6,4.5,6.8
IRR,VM,Employees_Reg,30.3,15.7,8.8
IRR,WOM,Employees_Reg,51,60.4,65.4
IRR,IND,Employees_Aux,5.9,4.2,<3
IRR,DIS,Employees_Aux,5.6,4.4,<3
IRR,VM,Employees_Aux,30.3,21.3,<3
IRR,WOM,Employees_Aux,51,80.6,72.7
JTT,IND,Employees_All,5.9,4.7,11.1
JTT,DIS,Employees_All,5.6,4.7,6.9
JTT,VM,Employees_All,30.3,18.1,9
JTT,WOM,Employees_All,51,58.8,65.8
JTT,IND,Employees_Reg,5.9,4.7,0.9
JTT,DIS,Employees_Reg,5.6,4.7,1.5
JTT,VM,Employees_Reg,30.3,17.8,33.4
JTT,WOM,Employees_Reg,51,57.9,57.9
JTT,IND,Employees_Aux,5.9,3.8,14.3
JTT,DIS,Employees_Aux,5.6,4.9,14.3
JTT,VM,Employees_Aux,30.3,22.6,40
JTT,WOM,Employees_Aux,51,72.2,61.9
LBR,IND,Employees_All,5.9,3.9,1.7
LBR,DIS,Employees_All,5.6,6.2,2.3
LBR,VM,Employees_All,30.3,19.3,33.8
LBR,WOM,Employees_All,51,68.1,58.1
LBR,IND,Employees_Reg,5.9,3.9,3.4
LBR,DIS,Employees_Reg,5.6,6.2,5.7
LBR,VM,Employees_Reg,30.3,19.3,17.1
LBR,WOM,Employees_Reg,51,68,66.9
LBR,IND,Employees_Aux,5.9,3.8,<3
LBR,DIS,Employees_Aux,5.6,5.2,<3
LBR,VM,Employees_Aux,30.3,22,<3
LBR,WOM,Employees_Aux,51,77.6,50
MAH,IND,Employees_All,5.9,4.4,3.4
MAH,DIS,Employees_All,5.6,4.8,5.6
MAH,VM,Employees_All,30.3,19.8,16.9
MAH,WOM,Employees_All,51,62.9,66.7
MAH,IND,Employees_Reg,5.9,4.3,2.2
MAH,DIS,Employees_Reg,5.6,4.8,5
MAH,VM,Employees_Reg,30.3,19.7,18.4
MAH,WOM,Employees_Reg,51,62.1,65.9
MAH,IND,Employees_Aux,5.9,4.6,<3
MAH,DIS,Employees_Aux,5.6,5.4,14.3
MAH,VM,Employees_Aux,30.3,20.9,<3
MAH,WOM,Employees_Aux,51,75.9,75
MHA,IND,Employees_All,5.9,5.7,2.4
MHA,DIS,Employees_All,5.6,4.6,5.5
MHA,VM,Employees_All,30.3,15.5,17.9
MHA,WOM,Employees_All,51,61.6,66.4
MHA,IND,Employees_Reg,5.9,5.8,<3
MHA,DIS,Employees_Reg,5.6,4.6,<3
MHA,VM,Employees_Reg,30.3,14.9,14.3
MHA,WOM,Employees_Reg,51,59.5,81.1
MHA,IND,Employees_Aux,5.9,3.9,<3
MHA,DIS,Employees_Aux,5.6,4.5,<3
MHA,VM,Employees_Aux,30.3,20.5,<3
MHA,WOM,Employees_Aux,51,80.5,75
PGT,IND,Employees_All,5.9,4.2,5.1
PGT,DIS,Employees_All,5.6,4.5,2.6
PGT,VM,Employees_All,30.3,21.6,15.8
PGT,WOM,Employees_All,51,76.4,80.5
PGT,IND,Employees_Reg,5.9,4.2,2.3
PGT,DIS,Employees_Reg,5.6,4.4,5
PGT,VM,Employees_Reg,30.3,21.1,30.6
PGT,WOM,Employees_Reg,51,75.4,76.6
PGT,IND,Employees_Aux,5.9,4.4,<3
PGT,DIS,Employees_Aux,5.6,4.9,<3
PGT,VM,Employees_Aux,30.3,26.2,40.9
PGT,WOM,Employees_Aux,51,86,84.6
PO,IND,Employees_All,5.9,6,2.1
PO,DIS,Employees_All,5.6,5.1,4.9
PO,VM,Employees_All,30.3,15.4,31.5
PO,WOM,Employees_All,51,54.6,77.4
PO,IND,Employees_Reg,5.9,6.1,<3
PO,DIS,Employees_Reg,5.6,5.1,<3
PO,VM,Employees_Reg,30.3,15.3,8.3
PO,WOM,Employees_Reg,51,53.7,81.6
PO,IND,Employees_Aux,5.9,4.3,<3
PO,DIS,Employees_Aux,5.6,4.5,<3
PO,VM,Employees_Aux,30.3,17.3,<3
PO,WOM,Employees_Aux,51,68.2,100
PSSG,IND,Employees_All,5.9,6.3,3.8
PSSG,DIS,Employees_All,5.6,5.3,3.9
PSSG,VM,Employees_All,30.3,19.3,7.8
PSSG,WOM,Employees_All,51,52.2,82.7
PSSG,IND,Employees_Reg,5.9,6.3,4.5
PSSG,DIS,Employees_Reg,5.6,5.4,3.8
PSSG,VM,Employees_Reg,30.3,19.3,20.3
PSSG,WOM,Employees_Reg,51,51.3,48.5
PSSG,IND,Employees_Aux,5.9,5.7,9.7
PSSG,DIS,Employees_Aux,5.6,5.2,7.1
PSSG,VM,Employees_Aux,30.3,20.2,20.9
PSSG,WOM,Employees_Aux,51,72.5,71.9
SDPR,IND,Employees_All,5.9,7.5,4.7
SDPR,DIS,Employees_All,5.6,4.7,3.9
SDPR,VM,Employees_All,30.3,21.4,20.3
SDPR,WOM,Employees_All,51,71.5,49.5
SDPR,IND,Employees_Reg,5.9,7.5,4.5
SDPR,DIS,Employees_Reg,5.6,4.7,7.8
SDPR,VM,Employees_Reg,30.3,21.4,20.2
SDPR,WOM,Employees_Reg,51,71.4,78.9
SDPR,IND,Employees_Aux,5.9,5.8,13
SDPR,DIS,Employees_Aux,5.6,4.8,26.1
SDPR,VM,Employees_Aux,30.3,23.6,14.3
SDPR,WOM,Employees_Aux,51,78.2,72
TAC,IND,Employees_All,5.9,5.2,4.6
TAC,DIS,Employees_All,5.6,4.5,8
TAC,VM,Employees_All,30.3,17.1,20.1
TAC,WOM,Employees_All,51,68.3,78.8
TAC,IND,Employees_Reg,5.9,5.1,4.9
TAC,DIS,Employees_Reg,5.6,4.5,8.2
TAC,VM,Employees_Reg,30.3,17,11.9
TAC,WOM,Employees_Reg,51,68.2,77
TAC,IND,Employees_Aux,5.9,6.8,<3
TAC,DIS,Employees_Aux,5.6,4.4,<3
TAC,VM,Employees_Aux,30.3,18.6,<3
TAC,WOM,Employees_Aux,51,70.8,33.3
TRAN,IND,Employees_All,5.9,4.5,6.3
TRAN,DIS,Employees_All,5.6,5,7.9
TRAN,VM,Employees_All,30.3,18.3,11.7
TRAN,WOM,Employees_All,51,50.5,75
TRAN,IND,Employees_Reg,5.9,4.6,4.1
TRAN,DIS,Employees_Reg,5.6,5,3.8
TRAN,VM,Employees_Reg,30.3,18,14.6
TRAN,WOM,Employees_Reg,51,49.6,41.2
TRAN,IND,Employees_Aux,5.9,4,11.5
TRAN,DIS,Employees_Aux,5.6,5.1,5.1
TRAN,VM,Employees_Aux,30.3,22.2,8.5
TRAN,WOM,Employees_Aux,51,63.4,55.4
