Ministry_Key,Des_Grp,Employee_Type,Employees_BC_Population,Available_Workforce_BCPS,Employees_BCPS
BCPS,IND,ALL,5.9,5.1,4.3
BCPS,DIS,ALL,5.6,5.1,5.0
BCPS,VM,ALL,30.3,19.1,17.0
BCPS,WOM,ALL,51.0,60.9,62.1
BCPS,IND,REG,5.9,5.1,4.2
BCPS,DIS,REG,5.6,5.1,5.0
BCPS,VM,REG,30.3,19.0,16.9
BCPS,WOM,REG,51.0,60.3,61.7
BCPS,IND,AUX,5.9,4.8,7.4
BCPS,DIS,AUX,5.6,5.2,6.8
BCPS,VM,AUX,30.3,21.2,18.9
BCPS,WOM,AUX,51.0,69.5,68.3
AEST,IND,ALL,5.9,4.3,4.0
AEST,DIS,ALL,5.6,5.1,7.5
AEST,VM,ALL,30.3,21.0,19.5
AEST,WOM,ALL,51.0,68.0,65.8
AEST,IND,REG,5.9,4.3,4.0
AEST,DIS,REG,5.6,5.1,6.7
AEST,VM,REG,30.3,20.7,19.5
AEST,WOM,REG,51.0,67.6,66.3
AEST,IND,AUX,5.9,3.9,<3
AEST,DIS,AUX,5.6,5.1,19.0
AEST,VM,AUX,30.3,24.5,19.0
AEST,WOM,AUX,51.0,74.4,59.1
AG,IND,ALL,5.9,3.6,3.4
AG,DIS,ALL,5.6,5.0,3.9
AG,VM,ALL,30.3,18.0,17.3
AG,WOM,ALL,51.0,61.9,65.8
AG,IND,REG,5.9,3.6,3.4
AG,DIS,REG,5.6,5.0,3.8
AG,VM,REG,30.3,17.8,17.0
AG,WOM,REG,51.0,61.1,65.1
AG,IND,AUX,5.9,4.0,2.8
AG,DIS,AUX,5.6,5.1,5.6
AG,VM,AUX,30.3,21.1,24.6
AG,WOM,AUX,51.0,77.7,79.5
AGRI,IND,ALL,5.9,3.2,3.8
AGRI,DIS,ALL,5.6,5.2,5.4
AGRI,VM,ALL,30.3,16.4,19.2
AGRI,WOM,ALL,51.0,52.4,55.8
AGRI,IND,REG,5.9,3.1,3.5
AGRI,DIS,REG,5.6,5.2,5.6
AGRI,VM,REG,30.3,16.2,19.4
AGRI,WOM,REG,51.0,52.0,54.7
AGRI,IND,AUX,5.9,3.6,<3
AGRI,DIS,AUX,5.6,5.2,<3
AGRI,VM,AUX,30.3,17.9,17.2
AGRI,WOM,AUX,51.0,55.1,64.1
BCPSA,IND,ALL,5.9,4.3,4.1
BCPSA,DIS,ALL,5.6,4.8,6.1
BCPSA,VM,ALL,30.3,18.4,17.8
BCPSA,WOM,ALL,51.0,67.8,75.0
BCPSA,IND,REG,5.9,4.3,3.6
BCPSA,DIS,REG,5.6,4.8,5.7
BCPSA,VM,REG,30.3,18.3,17.4
BCPSA,WOM,REG,51.0,67.4,74.6
BCPSA,IND,AUX,5.9,4.4,12.1
BCPSA,DIS,AUX,5.6,4.5,12.1
BCPSA,VM,AUX,30.3,19.2,23.3
BCPSA,WOM,AUX,51.0,73.4,81.8
CFD,IND,ALL,5.9,7.4,6.9
CFD,DIS,ALL,5.6,5.5,5.9
CFD,VM,ALL,30.3,19.0,18.2
CFD,WOM,ALL,51.0,77.1,81.6
CFD,IND,REG,5.9,7.5,6.8
CFD,DIS,REG,5.6,5.5,5.7
CFD,VM,REG,30.3,18.9,18.1
CFD,WOM,REG,51.0,77.4,82.0
CFD,IND,AUX,5.9,6.8,8.7
CFD,DIS,AUX,5.6,5.3,9.1
CFD,VM,AUX,30.3,21.3,19.4
CFD,WOM,AUX,51.0,73.0,76.4
CITZ,IND,ALL,5.9,3.9,3.5
CITZ,DIS,ALL,5.6,5.0,5.4
CITZ,VM,ALL,30.3,24.0,15.7
CITZ,WOM,ALL,51.0,62.0,58.9
CITZ,IND,REG,5.9,3.8,3.3
CITZ,DIS,REG,5.6,5.0,5.3
CITZ,VM,REG,30.3,23.7,15.3
CITZ,WOM,REG,51.0,60.9,58.4
CITZ,IND,AUX,5.9,4.1,7.2
CITZ,DIS,AUX,5.6,5.1,7.2
CITZ,VM,AUX,30.3,27.4,20.7
CITZ,WOM,AUX,51.0,75.7,65.6
EAO,IND,ALL,5.9,5.0,2.3
EAO,DIS,ALL,5.6,4.7,5.8
EAO,VM,ALL,30.3,15.8,9.4
EAO,WOM,ALL,51.0,54.4,61.6
EAO,IND,REG,5.9,5.0,<3
EAO,DIS,REG,5.6,4.7,6.3
EAO,VM,REG,30.3,15.5,7.6
EAO,WOM,REG,51.0,53.3,62.5
EAO,IND,AUX,5.9,4.0,<3
EAO,DIS,AUX,5.6,4.8,<3
EAO,VM,AUX,30.3,19.8,<3
EAO,WOM,AUX,51.0,70.0,50.0
EDUC,IND,ALL,5.9,4.5,1.7
EDUC,DIS,ALL,5.6,4.9,5.8
EDUC,VM,ALL,30.3,20.2,18.0
EDUC,WOM,ALL,51.0,63.7,63.3
EDUC,IND,REG,5.9,4.6,1.5
EDUC,DIS,REG,5.6,4.9,5.7
EDUC,VM,REG,30.3,20.1,17.2
EDUC,WOM,REG,51.0,63.4,62.7
EDUC,IND,AUX,5.9,3.9,<3
EDUC,DIS,AUX,5.6,4.9,<3
EDUC,VM,AUX,30.3,21.6,38.5
EDUC,WOM,AUX,51.0,70.9,75.0
EMBC,IND,ALL,5.9,4.4,8.4
EMBC,DIS,ALL,5.6,4.8,3.2
EMBC,VM,ALL,30.3,17.3,8.1
EMBC,WOM,ALL,51.0,57.0,57.8
EMBC,IND,REG,5.9,4.5,5.6
EMBC,DIS,REG,5.6,4.8,2.4
EMBC,VM,REG,30.3,16.0,6.5
EMBC,WOM,REG,51.0,53.5,54.7
EMBC,IND,AUX,5.9,4.2,20.7
EMBC,DIS,AUX,5.6,4.9,<3
EMBC,VM,AUX,30.3,20.9,16.0
EMBC,WOM,AUX,51.0,67.0,66.7
EMPR,IND,ALL,5.9,4.1,3.3
EMPR,DIS,ALL,5.6,5.1,4.9
EMPR,VM,ALL,30.3,17.3,10.3
EMPR,WOM,ALL,51.0,51.2,46.6
EMPR,IND,REG,5.9,4.1,3.4
EMPR,DIS,REG,5.6,5.1,4.1
EMPR,VM,REG,30.3,17.0,10.7
EMPR,WOM,REG,51.0,50.1,46.9
EMPR,IND,AUX,5.9,4.1,<3
EMPR,DIS,AUX,5.6,5.0,23.1
EMPR,VM,AUX,30.3,22.1,<3
EMPR,WOM,AUX,51.0,69.9,41.2
ENV,IND,ALL,5.9,5.6,4.1
ENV,DIS,ALL,5.6,5.1,4.9
ENV,VM,ALL,30.3,14.5,8.1
ENV,WOM,ALL,51.0,44.9,48.1
ENV,IND,REG,5.9,5.6,3.8
ENV,DIS,REG,5.6,5.1,4.9
ENV,VM,REG,30.3,14.5,7.7
ENV,WOM,REG,51.0,44.6,48.2
ENV,IND,AUX,5.9,5.9,9.3
ENV,DIS,AUX,5.6,5.2,5.6
ENV,VM,AUX,30.3,15.5,14.0
ENV,WOM,AUX,51.0,50.3,46.4
FIN,IND,ALL,5.9,3.9,2.8
FIN,DIS,ALL,5.6,5.3,4.4
FIN,VM,ALL,30.3,24.0,29.7
FIN,WOM,ALL,51.0,60.5,59.2
FIN,IND,REG,5.9,3.9,2.7
FIN,DIS,REG,5.6,5.3,4.5
FIN,VM,REG,30.3,24.0,29.5
FIN,WOM,REG,51.0,59.8,59.4
FIN,IND,AUX,5.9,4.4,<3
FIN,DIS,AUX,5.6,4.9,<3
FIN,VM,AUX,30.3,22.5,36.6
FIN,WOM,AUX,51.0,81.4,53.3
FLNRORD,IND,ALL,5.9,3.7,3.9
FLNRORD,DIS,ALL,5.6,5.3,4.3
FLNRORD,VM,ALL,30.3,15.4,7.6
FLNRORD,WOM,ALL,51.0,46.2,46.5
FLNRORD,IND,REG,5.9,3.7,3.9
FLNRORD,DIS,REG,5.6,5.3,4.5
FLNRORD,VM,REG,30.3,15.3,7.6
FLNRORD,WOM,REG,51.0,45.6,45.5
FLNRORD,IND,AUX,5.9,3.8,4.4
FLNRORD,DIS,AUX,5.6,5.4,<3
FLNRORD,VM,AUX,30.3,17.2,7.5
FLNRORD,WOM,AUX,51.0,54.7,61.9
GCPE,IND,ALL,5.9,2.6,1.4
GCPE,DIS,ALL,5.6,5.0,5.0
GCPE,VM,ALL,30.3,26.2,14.0
GCPE,WOM,ALL,51.0,56.1,57.7
GCPE,IND,REG,5.9,2.6,1.5
GCPE,DIS,REG,5.6,5.0,5.2
GCPE,VM,REG,30.3,26.1,14.1
GCPE,WOM,REG,51.0,56.5,58.4
GCPE,IND,AUX,5.9,2.4,<3
GCPE,DIS,AUX,5.6,4.9,<3
GCPE,VM,AUX,30.3,30.4,<3
GCPE,WOM,AUX,51.0,42.1,33.3
HLTH,IND,ALL,5.9,4.0,2.6
HLTH,DIS,ALL,5.6,5.1,6.2
HLTH,VM,ALL,30.3,22.5,21.1
HLTH,WOM,ALL,51.0,67.3,68.7
HLTH,IND,REG,5.9,4.0,2.5
HLTH,DIS,REG,5.6,5.1,6.3
HLTH,VM,REG,30.3,22.3,20.6
HLTH,WOM,REG,51.0,66.7,68.5
HLTH,IND,AUX,5.9,3.9,<3
HLTH,DIS,AUX,5.6,5.2,<3
HLTH,VM,AUX,30.3,27.2,34.1
HLTH,WOM,AUX,51.0,80.7,74.5
IRR,IND,ALL,5.9,5.1,11.1
IRR,DIS,ALL,5.6,4.5,6.9
IRR,VM,ALL,30.3,16.0,9.0
IRR,WOM,ALL,51.0,61.5,65.8
IRR,IND,REG,5.9,5.1,10.6
IRR,DIS,REG,5.6,4.5,6.8
IRR,VM,REG,30.3,15.7,8.8
IRR,WOM,REG,51.0,60.4,65.4
IRR,IND,AUX,5.9,4.2,<3
IRR,DIS,AUX,5.6,4.4,<3
IRR,VM,AUX,30.3,21.3,<3
IRR,WOM,AUX,51.0,80.6,72.7
JTT,IND,ALL,5.9,4.7,1.7
JTT,DIS,ALL,5.6,4.7,2.3
JTT,VM,ALL,30.3,18.1,33.8
JTT,WOM,ALL,51.0,58.8,58.1
JTT,IND,REG,5.9,4.7,0.9
JTT,DIS,REG,5.6,4.7,1.5
JTT,VM,REG,30.3,17.8,33.4
JTT,WOM,REG,51.0,57.9,57.9
JTT,IND,AUX,5.9,3.8,14.3
JTT,DIS,AUX,5.6,4.9,14.3
JTT,VM,AUX,30.3,22.6,40.0
JTT,WOM,AUX,51.0,72.2,61.9
LBR,IND,ALL,5.9,3.9,3.4
LBR,DIS,ALL,5.6,6.2,5.6
LBR,VM,ALL,30.3,19.3,16.9
LBR,WOM,ALL,51.0,68.1,66.7
LBR,IND,REG,5.9,3.9,3.4
LBR,DIS,REG,5.6,6.2,5.7
LBR,VM,REG,30.3,19.3,17.1
LBR,WOM,REG,51.0,68.0,66.9
LBR,IND,AUX,5.9,3.8,<3
LBR,DIS,AUX,5.6,5.2,<3
LBR,VM,AUX,30.3,22.0,<3
LBR,WOM,AUX,51.0,77.6,50.0
MAH,IND,ALL,5.9,4.4,2.4
MAH,DIS,ALL,5.6,4.8,5.5
MAH,VM,ALL,30.3,19.8,17.9
MAH,WOM,ALL,51.0,62.9,66.4
MAH,IND,REG,5.9,4.3,2.2
MAH,DIS,REG,5.6,4.8,5.0
MAH,VM,REG,30.3,19.7,18.4
MAH,WOM,REG,51.0,62.1,65.9
MAH,IND,AUX,5.9,4.6,<3
MAH,DIS,AUX,5.6,5.4,14.3
MAH,VM,AUX,30.3,20.9,<3
MAH,WOM,AUX,51.0,75.9,75.0
MHA,IND,ALL,5.9,5.7,5.1
MHA,DIS,ALL,5.6,4.6,2.6
MHA,VM,ALL,30.3,15.5,15.8
MHA,WOM,ALL,51.0,61.6,80.5
MHA,IND,REG,5.9,5.8,<3
MHA,DIS,REG,5.6,4.6,<3
MHA,VM,REG,30.3,14.9,14.3
MHA,WOM,REG,51.0,59.5,81.1
MHA,IND,AUX,5.9,3.9,<3
MHA,DIS,AUX,5.6,4.5,<3
MHA,VM,AUX,30.3,20.5,<3
MHA,WOM,AUX,51.0,80.5,75.0
PGT,IND,ALL,5.9,4.2,2.1
PGT,DIS,ALL,5.6,4.5,4.9
PGT,VM,ALL,30.3,21.6,31.5
PGT,WOM,ALL,51.0,76.4,77.4
PGT,IND,REG,5.9,4.2,2.3
PGT,DIS,REG,5.6,4.4,5.0
PGT,VM,REG,30.3,21.1,30.6
PGT,WOM,REG,51.0,75.4,76.6
PGT,IND,AUX,5.9,4.4,<3
PGT,DIS,AUX,5.6,4.9,<3
PGT,VM,AUX,30.3,26.2,40.9
PGT,WOM,AUX,51.0,86.0,84.6
PO,IND,ALL,5.9,6.0,3.8
PO,DIS,ALL,5.6,5.1,3.9
PO,VM,ALL,30.3,15.4,7.8
PO,WOM,ALL,51.0,54.6,82.7
PO,IND,REG,5.9,6.1,<3
PO,DIS,REG,5.6,5.1,<3
PO,VM,REG,30.3,15.3,8.3
PO,WOM,REG,51.0,53.7,81.6
PO,IND,AUX,5.9,4.3,<3
PO,DIS,AUX,5.6,4.5,<3
PO,VM,AUX,30.3,17.3,<3
PO,WOM,AUX,51.0,68.2,100.0
PSSG,IND,ALL,5.9,6.3,4.7
PSSG,DIS,ALL,5.6,5.3,3.9
PSSG,VM,ALL,30.3,19.3,20.3
PSSG,WOM,ALL,51.0,52.2,49.5
PSSG,IND,REG,5.9,6.3,4.5
PSSG,DIS,REG,5.6,5.4,3.8
PSSG,VM,REG,30.3,19.3,20.3
PSSG,WOM,REG,51.0,51.3,48.5
PSSG,IND,AUX,5.9,5.7,9.7
PSSG,DIS,AUX,5.6,5.2,7.1
PSSG,VM,AUX,30.3,20.2,20.9
PSSG,WOM,AUX,51.0,72.5,71.9
SDPR,IND,ALL,5.9,7.5,4.6
SDPR,DIS,ALL,5.6,4.7,8.0
SDPR,VM,ALL,30.3,21.4,20.1
SDPR,WOM,ALL,51.0,71.5,78.8
SDPR,IND,REG,5.9,7.5,4.5
SDPR,DIS,REG,5.6,4.7,7.8
SDPR,VM,REG,30.3,21.4,20.2
SDPR,WOM,REG,51.0,71.4,78.9
SDPR,IND,AUX,5.9,5.8,13.0
SDPR,DIS,AUX,5.6,4.8,26.1
SDPR,VM,AUX,30.3,23.6,14.3
SDPR,WOM,AUX,51.0,78.2,72.0
TAC,IND,ALL,5.9,5.2,6.3
TAC,DIS,ALL,5.6,4.5,7.9
TAC,VM,ALL,30.3,17.1,11.7
TAC,WOM,ALL,51.0,68.3,75.0
TAC,IND,REG,5.9,5.1,4.9
TAC,DIS,REG,5.6,4.5,8.2
TAC,VM,REG,30.3,17.0,11.9
TAC,WOM,REG,51.0,68.2,77.0
TAC,IND,AUX,5.9,6.8,<3
TAC,DIS,AUX,5.6,4.4,<3
TAC,VM,AUX,30.3,18.6,<3
TAC,WOM,AUX,51.0,70.8,33.3
TRAN,IND,ALL,5.9,4.5,4.5
TRAN,DIS,ALL,5.6,5.0,3.8
TRAN,VM,ALL,30.3,18.3,14.2
TRAN,WOM,ALL,51.0,50.5,42.2
TRAN,IND,REG,5.9,4.6,4.1
TRAN,DIS,REG,5.6,5.0,3.8
TRAN,VM,REG,30.3,18.0,14.6
TRAN,WOM,REG,51.0,49.6,41.2
TRAN,IND,AUX,5.9,4.0,11.5
TRAN,DIS,AUX,5.6,5.1,5.1
TRAN,VM,AUX,30.3,22.2,8.5
TRAN,WOM,AUX,51.0,63.4,55.4
