Ministry_Key,Des_Grp,Employee_Type,2015_pc,2018_pc,2018_hired_ct
BCPS,DIS,ALL,3.9,5.0,322
BCPS,DIS,AUX,2.7,3.8,74
BCPS,DIS,REG,4.0,5.0,248
BCPS,IND,ALL,3.2,4.3,338
BCPS,IND,AUX,3.4,4.5,83
BCPS,IND,REG,3.1,4.2,255
BCPS,VM,ALL,13.9,17.0,1345
BCPS,VM,AUX,11.3,14.2,202
BCPS,VM,REG,14.0,16.9,1143
BCPS,WOM,ALL,61.6,62.1,4815
BCPS,WOM,AUX,69.3,42.2,834
BCPS,WOM,REG,61.2,61.7,3981
AEST,DIS,ALL,5.8,7.5,15
AEST,DIS,AUX,18.2,5.0,4
AEST,DIS,REG,4.8,6.7,11
AEST,IND,ALL,S,4.0,S
AEST,IND,AUX,<3,4.3,<3
AEST,IND,REG,1.5,4.0,5
AEST,VM,ALL,S,19.5,32
AEST,VM,AUX,<3,17.0,4
AEST,VM,REG,11.4,19.5,28
AEST,WOM,ALL,73.4,65.8,89
AEST,WOM,AUX,72.7,62.1,13
AEST,WOM,REG,73.4,66.3,76
AG,DIS,ALL,S,3.9,32
AG,DIS,AUX,<3,5.6,5
AG,DIS,REG,3.0,3.8,27
AG,IND,ALL,2.3,3.4,30
AG,IND,AUX,3.1,2.8,3
AG,IND,REG,2.3,3.4,27
AG,VM,ALL,14.3,17.3,155
AG,VM,AUX,12.5,24.6,29
AG,VM,REG,14.3,17.0,126
AG,WOM,ALL,65.2,65.8,552
AG,WOM,AUX,77.3,79.5,87
AG,WOM,REG,64.7,65.1,465
AGRI,DIS,ALL,S,S,S
AGRI,DIS,AUX,<3,<3,<3
AGRI,DIS,REG,5.7,5.6,<3
AGRI,IND,ALL,S,S,<3
AGRI,IND,AUX,<3,<3,<3
AGRI,IND,REG,2.5,3.5,<3
AGRI,VM,ALL,13.5,19.2,22
AGRI,VM,AUX,10.8,17.2,5
AGRI,VM,REG,13.9,19.4,17
AGRI,WOM,ALL,55.7,55.8,56
AGRI,WOM,AUX,59.5,64.1,21
AGRI,WOM,REG,55.2,54.7,35
BCPSA,DIS,ALL,S,5.0,S
BCPSA,DIS,AUX,<3,12.1,4
BCPSA,DIS,REG,4.6,5.7,<3
BCPSA,IND,ALL,S,4.3,S
BCPSA,IND,AUX,<3,12.1,3
BCPSA,IND,REG,3.2,3.6,<3
BCPSA,VM,ALL,S,17.0,34
BCPSA,VM,AUX,<3,23.3,7
BCPSA,VM,REG,14.1,17.4,27
BCPSA,WOM,ALL,75.7,62.1,106
BCPSA,WOM,AUX,75.0,81.8,23
BCPSA,WOM,REG,75.8,74.6,83
CFD,DIS,ALL,4.6,6.1,65
CFD,DIS,AUX,4.0,9.1,17
CFD,DIS,REG,4.7,5.7,48
CFD,IND,ALL,5.0,4.1,102
CFD,IND,AUX,4.0,8.7,18
CFD,IND,REG,5.1,6.8,84
CFD,VM,ALL,14.5,17.8,260
CFD,VM,AUX,13.1,19.4,35
CFD,VM,REG,14.6,18.1,225
CFD,WOM,ALL,79.6,75.0,1191
CFD,WOM,AUX,79.0,76.4,184
CFD,WOM,REG,79.7,82.0,1007
CITZ,DIS,ALL,S,5.9,21
CITZ,DIS,AUX,<3,7.2,4
CITZ,DIS,REG,4.6,5.3,17
CITZ,IND,ALL,2.9,6.9,19
CITZ,IND,AUX,5.5,7.2,5
CITZ,IND,REG,2.7,3.3,14
CITZ,VM,ALL,11.7,18.2,91
CITZ,VM,AUX,8.3,20.7,18
CITZ,VM,REG,12.0,15.3,73
CITZ,WOM,ALL,59.8,81.6,255
CITZ,WOM,AUX,53.2,65.6,57
CITZ,WOM,REG,60.3,58.4,198
EAO,DIS,ALL,<3,S,<3
EAO,DIS,AUX,S,<3,<3
EAO,DIS,REG,<3,6.3,<3
EAO,IND,ALL,<3,S,<3
EAO,IND,AUX,S,<3,<3
EAO,IND,REG,<3,<3,<3
EAO,VM,ALL,S,S,S
EAO,VM,AUX,<3,<3,<3
EAO,VM,REG,5.1,7.6,<3
EAO,WOM,ALL,S,58.9,24
EAO,WOM,AUX,<3,50.0,3
EAO,WOM,REG,62.0,62.5,21
EDUC,DIS,ALL,S,S,S
EDUC,DIS,AUX,<3,<3,<3
EDUC,DIS,REG,3.0,5.7,3
EDUC,IND,ALL,S,S,<3
EDUC,IND,AUX,<3,<3,<3
EDUC,IND,REG,1.3,1.5,<3
EDUC,VM,ALL,S,9.4,21
EDUC,VM,AUX,<3,38.5,5
EDUC,VM,REG,12.9,17.2,16
EDUC,WOM,ALL,65.0,61.6,75
EDUC,WOM,AUX,66.7,75.0,12
EDUC,WOM,REG,65.0,62.7,63
EMBC,DIS,ALL,S,S,S
EMBC,DIS,AUX,<3,<3,<3
EMBC,DIS,REG,5.1,2.4,<3
EMBC,IND,ALL,<3,1.7,12
EMBC,IND,AUX,<3,20.7,6
EMBC,IND,REG,<3,5.6,6
EMBC,VM,ALL,S,18.0,S
EMBC,VM,AUX,<3,16.0,4
EMBC,VM,REG,5.1,6.5,<3
EMBC,WOM,ALL,55.1,63.3,46
EMBC,WOM,AUX,50.0,66.7,29
EMBC,WOM,REG,55.7,54.7,17
EMPR,DIS,ALL,S,3.2,S
EMPR,DIS,AUX,<3,23.1,3
EMPR,DIS,REG,2.4,4.1,<3
EMPR,IND,ALL,S,S,S
EMPR,IND,AUX,<3,<3,<3
EMPR,IND,REG,2.4,3.4,4
EMPR,VM,ALL,11.0,S,S
EMPR,VM,AUX,22.2,<3,<3
EMPR,VM,REG,10.2,10.7,10
EMPR,WOM,ALL,49.3,57.8,39
EMPR,WOM,AUX,55.6,41.2,7
EMPR,WOM,REG,48.8,46.9,32
ENV,DIS,ALL,S,4.9,9
ENV,DIS,AUX,<3,5.6,3
ENV,DIS,REG,2.4,4.9,6
ENV,IND,ALL,2.6,3.3,12
ENV,IND,AUX,3.0,9.3,5
ENV,IND,REG,2.5,3.8,7
ENV,VM,ALL,S,10.3,23
ENV,VM,AUX,<3,14.0,6
ENV,VM,REG,6.8,7.7,17
ENV,WOM,ALL,45.7,46.6,143
ENV,WOM,AUX,54.5,46.4,21
ENV,WOM,REG,44.5,48.2,122
FIN,DIS,ALL,S,S,S
FIN,DIS,AUX,<3,<3,<3
FIN,DIS,REG,3.8,4.5,12
FIN,IND,ALL,S,S,S
FIN,IND,AUX,<3,<3,<3
FIN,IND,REG,1.8,2.7,7
FIN,VM,ALL,23.9,8.1,115
FIN,VM,AUX,27.3,36.6,15
FIN,VM,REG,23.8,29.5,100
FIN,WOM,ALL,58.8,48.1,231
FIN,WOM,AUX,45.5,53.3,21
FIN,WOM,REG,58.9,59.4,210
FLNRORD,DIS,ALL,3.6,S,S
FLNRORD,DIS,AUX,1.9,<3,<3
FLNRORD,DIS,REG,3.7,4.5,30
FLNRORD,IND,ALL,S,2.8,36
FLNRORD,IND,AUX,<3,4.4,9
FLNRORD,IND,REG,3.0,3.9,27
FLNRORD,VM,ALL,6.4,29.7,92
FLNRORD,VM,AUX,6.9,7.5,15
FLNRORD,VM,REG,6.4,7.6,77
FLNRORD,WOM,ALL,44.7,59.2,493
FLNRORD,WOM,AUX,63.1,61.9,123
FLNRORD,WOM,REG,43.8,45.5,370
GCPE,DIS,ALL,S,S,S
GCPE,DIS,AUX,<3,<3,<3
GCPE,DIS,REG,4.0,5.2,5
GCPE,IND,ALL,<3,S,<3
GCPE,IND,AUX,<3,<3,<3
GCPE,IND,REG,<3,1.5,<3
GCPE,VM,ALL,S,S,S
GCPE,VM,AUX,<3,<3,<3
GCPE,VM,REG,11.9,14.1,15
GCPE,WOM,ALL,S,46.5,81
GCPE,WOM,AUX,<3,33.3,3
GCPE,WOM,REG,55.8,58.4,78
HLTH,DIS,ALL,S,S,S
HLTH,DIS,AUX,<3,<3,<3
HLTH,DIS,REG,4.5,6.3,19
HLTH,IND,ALL,S,S,S
HLTH,IND,AUX,<3,<3,<3
HLTH,IND,REG,2.1,2.5,8
HLTH,VM,ALL,18.8,14.0,70
HLTH,VM,AUX,37.5,34.1,13
HLTH,VM,REG,18.5,20.6,57
HLTH,WOM,ALL,69.7,57.7,231
HLTH,WOM,AUX,87.5,74.5,32
HLTH,WOM,REG,69.4,68.5,199
IRR,DIS,ALL,S,S,S
IRR,DIS,AUX,<3,<3,<3
IRR,DIS,REG,5.7,6.8,3
IRR,IND,ALL,S,S,S
IRR,IND,AUX,<3,<3,<3
IRR,IND,REG,9.1,10.6,5
IRR,VM,ALL,S,S,S
IRR,VM,AUX,<3,<3,<3
IRR,VM,REG,6.7,8.8,5
IRR,WOM,ALL,63.5,68.7,34
IRR,WOM,AUX,100.0,72.7,7
IRR,WOM,REG,61.2,65.4,27
JTT,DIS,ALL,S,6.9,<3
JTT,DIS,AUX,<3,14.3,<3
JTT,DIS,REG,1.6,1.5,<3
JTT,IND,ALL,S,11.1,S
JTT,IND,AUX,<3,14.3,3
JTT,IND,REG,1.0,0.9,<3
JTT,VM,ALL,27.0,9.0,30
JTT,VM,AUX,28.0,40.0,7
JTT,VM,REG,26.9,33.4,23
JTT,WOM,ALL,55.5,65.8,62
JTT,WOM,AUX,64.0,61.9,12
JTT,WOM,REG,54.8,57.9,50
LBR,DIS,ALL,S,S,<3
LBR,DIS,AUX,<3,<3,<3
LBR,DIS,REG,6.4,5.7,<3
LBR,IND,ALL,S,S,<3
LBR,IND,AUX,<3,<3,<3
LBR,IND,REG,3.2,3.4,<3
LBR,VM,ALL,S,S,S
LBR,VM,AUX,<3,<3,<3
LBR,VM,REG,15.0,17.1,9
LBR,WOM,ALL,70.0,58.1,S
LBR,WOM,AUX,100.0,50.0,<3
LBR,WOM,REG,69.5,66.9,16
MAH,DIS,ALL,S,5.6,6
MAH,DIS,AUX,<3,14.3,3
MAH,DIS,REG,3.6,5.0,3
MAH,IND,ALL,S,S,<3
MAH,IND,AUX,<3,<3,<3
MAH,IND,REG,2.1,2.2,<3
MAH,VM,ALL,S,S,S
MAH,VM,AUX,<3,<3,<3
MAH,VM,REG,14.8,18.4,11
MAH,WOM,ALL,67.9,66.7,66
MAH,WOM,AUX,92.9,75.0,15
MAH,WOM,REG,66.9,65.9,51
MHA,DIS,ALL,,S,<3
MHA,DIS,AUX,,<3,<3
MHA,DIS,REG,,<3,<3
MHA,IND,ALL,,S,<3
MHA,IND,AUX,,<3,<3
MHA,IND,REG,,<3,<3
MHA,VM,ALL,,S,<3
MHA,VM,AUX,,<3,<3
MHA,VM,REG,,14.3,<3
MHA,WOM,ALL,,66.4,8
MHA,WOM,AUX,,75.0,3
MHA,WOM,REG,,81.1,5
PGT,DIS,ALL,S,S,<3
PGT,DIS,AUX,<3,<3,<3
PGT,DIS,REG,3.3,5.0,<3
PGT,IND,ALL,S,S,<3
PGT,IND,AUX,<3,<3,<3
PGT,IND,REG,3.3,2.3,<3
PGT,VM,ALL,23.1,15.8,28
PGT,VM,AUX,21.4,40.9,8
PGT,VM,REG,23.2,30.6,20
PGT,WOM,ALL,74.5,80.5,62
PGT,WOM,AUX,78.6,84.6,20
PGT,WOM,REG,74.3,76.6,42
PO,DIS,ALL,<3,S,<3
PO,DIS,AUX,<3,<3,<3
PO,DIS,REG,<3,<3,<3
PO,IND,ALL,<3,S,<3
PO,IND,AUX,<3,<3,<3
PO,IND,REG,<3,<3,<3
PO,VM,ALL,S,S,<3
PO,VM,AUX,<3,<3,<3
PO,VM,REG,9.8,8.3,<3
PO,WOM,ALL,S,77.4,S
PO,WOM,AUX,<3,100.0,<3
PO,WOM,REG,75.6,81.6,11
PSSG,DIS,ALL,2.7,3.9,31
PSSG,DIS,AUX,3.0,7.1,8
PSSG,DIS,REG,2.7,3.8,23
PSSG,IND,ALL,3.6,3.8,40
PSSG,IND,AUX,4.5,9.7,9
PSSG,IND,REG,3.6,4.5,31
PSSG,VM,ALL,16.7,7.8,165
PSSG,VM,AUX,11.2,20.9,16
PSSG,VM,REG,17.0,20.3,149
PSSG,WOM,ALL,50.4,82.7,486
PSSG,WOM,AUX,63.4,71.9,74
PSSG,WOM,REG,49.7,48.5,412
SDPR,DIS,ALL,S,3.9,29
SDPR,DIS,AUX,<3,26.1,6
SDPR,DIS,REG,7.3,7.8,23
SDPR,IND,ALL,S,4.7,16
SDPR,IND,AUX,<3,13.0,3
SDPR,IND,REG,3.4,4.5,13
SDPR,VM,ALL,18.4,20.3,90
SDPR,VM,AUX,18.5,14.3,3
SDPR,VM,REG,18.4,20.2,87
SDPR,WOM,ALL,79.0,49.5,298
SDPR,WOM,AUX,80.0,72.0,15
SDPR,WOM,REG,78.9,78.9,283
TAC,DIS,ALL,<3,S,<3
TAC,DIS,AUX,<3,<3,<3
TAC,DIS,REG,<3,8.2,<3
TAC,IND,ALL,<3,S,<3
TAC,IND,AUX,<3,<3,<3
TAC,IND,REG,<3,4.9,<3
TAC,VM,ALL,S,S,<3
TAC,VM,AUX,<3,<3,<3
TAC,VM,REG,10.7,11.9,<3
TAC,WOM,ALL,83.3,78.8,S
TAC,WOM,AUX,75.0,33.3,<3
TAC,WOM,REG,83.9,77.0,7
TRAN,DIS,ALL,S,7.9,11
TRAN,DIS,AUX,<3,5.1,4
TRAN,DIS,REG,2.8,3.8,7
TRAN,IND,ALL,3.5,6.3,16
TRAN,IND,AUX,13.8,11.5,8
TRAN,IND,REG,3.3,4.1,8
TRAN,VM,ALL,S,11.7,51
TRAN,VM,AUX,<3,8.5,5
TRAN,VM,REG,11.6,14.6,46
TRAN,WOM,ALL,39.1,75.0,149
TRAN,WOM,AUX,65.5,55.4,48
TRAN,WOM,REG,38.5,41.2,101
AEST,AS_TOTAL,ALL,,357,139
AEST,AS_TOTAL,AUX,,22,22
AEST,AS_TOTAL,REG,,335,117
AG,AS_TOTAL,ALL,,3283,789
AG,AS_TOTAL,AUX,,161,108
AG,AS_TOTAL,REG,,3122,681
AGRI,AS_TOTAL,ALL,,326,93
AGRI,AS_TOTAL,AUX,,39,30
AGRI,AS_TOTAL,REG,,287,63
BCPSA,AS_TOTAL,ALL,,513,145
BCPSA,AS_TOTAL,AUX,,33,29
BCPSA,AS_TOTAL,REG,,480,116
CFD,AS_TOTAL,ALL,,4577,1390
CFD,AS_TOTAL,AUX,,322,240
CFD,AS_TOTAL,REG,,4255,1150
CITZ,AS_TOTAL,ALL,,1682,448
CITZ,AS_TOTAL,AUX,,125,91
CITZ,AS_TOTAL,REG,,1557,357
EAO,AS_TOTAL,ALL,,86,35
EAO,AS_TOTAL,AUX,,6,6
EAO,AS_TOTAL,REG,,80,29
EDUC,AS_TOTAL,ALL,,354,107
EDUC,AS_TOTAL,AUX,,16,16
EDUC,AS_TOTAL,REG,,338,91
EMBC,AS_TOTAL,ALL,,173,80
EMBC,AS_TOTAL,AUX,,45,43
EMBC,AS_TOTAL,REG,,128,37
EMPR,AS_TOTAL,ALL,,311,87
EMPR,AS_TOTAL,AUX,,17,17
EMPR,AS_TOTAL,REG,,294,70
ENV,AS_TOTAL,ALL,,909,263
ENV,AS_TOTAL,AUX,,56,44
ENV,AS_TOTAL,REG,,853,219
FIN,AS_TOTAL,ALL,,1382,403
FIN,AS_TOTAL,AUX,,45,42
FIN,AS_TOTAL,REG,,1337,361
FLNRORD,AS_TOTAL,ALL,,3750,883
FLNRORD,AS_TOTAL,AUX,,239,190
FLNRORD,AS_TOTAL,REG,,3511,693
GCPE,AS_TOTAL,ALL,,300,134
GCPE,AS_TOTAL,AUX,,9,9
GCPE,AS_TOTAL,REG,,291,125
HLTH,AS_TOTAL,ALL,,1224,324
HLTH,AS_TOTAL,AUX,,51,45
HLTH,AS_TOTAL,REG,,1173,279
IRR,AS_TOTAL,ALL,,219,46
IRR,AS_TOTAL,AUX,,11,10
IRR,AS_TOTAL,REG,,208,36
JTT,AS_TOTAL,ALL,,356,99
JTT,AS_TOTAL,AUX,,21,20
JTT,AS_TOTAL,REG,,335,79
LBR,AS_TOTAL,ALL,,180,S
LBR,AS_TOTAL,AUX,,2,<3
LBR,AS_TOTAL,REG,,178,24
MAH,AS_TOTAL,ALL,,393,99
MAH,AS_TOTAL,AUX,,24,20
MAH,AS_TOTAL,REG,,369,79
MHA,AS_TOTAL,ALL,,41,12
MHA,AS_TOTAL,AUX,,4,4
MHA,AS_TOTAL,REG,,37,8
PGT,AS_TOTAL,ALL,,261,73
PGT,AS_TOTAL,AUX,,26,23
PGT,AS_TOTAL,REG,,235,50
PO,AS_TOTAL,ALL,,52,S
PO,AS_TOTAL,AUX,,3,<3
PO,AS_TOTAL,REG,,49,13
PSSG,AS_TOTAL,ALL,,3189,999
PSSG,AS_TOTAL,AUX,,135,99
PSSG,AS_TOTAL,REG,,3054,900
SDPR,AS_TOTAL,ALL,,1861,401
SDPR,AS_TOTAL,AUX,,25,21
SDPR,AS_TOTAL,REG,,1836,380
TAC,AS_TOTAL,ALL,,64,S
TAC,AS_TOTAL,AUX,,3,<3
TAC,AS_TOTAL,REG,,61,8
TRAN,AS_TOTAL,ALL,,1378,302
TRAN,AS_TOTAL,AUX,,92,81
TRAN,AS_TOTAL,REG,,1286,221
BCPS,AS_TOTAL,ALL,,27221,7402
BCPS,AS_TOTAL,AUX,,1532,1216
BCPS,AS_TOTAL,REG,,25689,6186
BCPS,WOM_SR,REG,46.1,50.6,
AEST,WOM_SR,REG,59.3,37.5,
AG,WOM_SR,REG,42.2,24.0,
AGRI,WOM_SR,REG,36.4,0.0,
BCPSA,WOM_SR,REG,72.4,75.0,
CFD,WOM_SR,REG,66.2,69.2,
CITZ,WOM_SR,REG,43.2,46.7,
EAO,WOM_SR,REG,38.5,0.0,
EDUC,WOM_SR,REG,64.9,35.7,
EMBC,WOM_SR,REG,16.7,33.3,
EMPR,WOM_SR,REG,31.4,50.0,
ENV,WOM_SR,REG,33.3,58.3,
FIN,WOM_SR,REG,40.6,55.8,
FLNRORD,WOM_SR,REG,32.2,30.0,
GCPE,WOM_SR,REG,46.9,0.0,
HLTH,WOM_SR,REG,54.5,60.7,
IRR,WOM_SR,REG,33.3,57.1,
JTT,WOM_SR,REG,38.5,42.1,
LBR,WOM_SR,REG,33.3,0.0,
MAH,WOM_SR,REG,48.3,58.3,
MHA,WOM_SR,REG,,75.0,
PGT,WOM_SR,REG,60,,
PO,WOM_SR,REG,46.7,71.4,
PSSG,WOM_SR,REG,53.3,50.0,
SDPR,WOM_SR,REG,56.4,60.0,
TAC,WOM_SR,REG,90,0.0,
TRAN,WOM_SR,REG,31,50.0,
